CustomerID,Annual_Income,Spending_Score,Distance_C1,Distance_C2,Distance_C3,Assigned_Cluster,Squared_Distance_to_New_Centroid
1000,59.9,58,39.7141,14.2815,41.1281,2,260.2242
1001,48.4,37,38.6257,13.6972,39.6479,2,188.9587
1002,70.5,26,62.6076,33.638,16.2388,3,192.6298
1003,81.1,30,69.3032,39.3333,6.4566,3,9.1986
1004,42.1,58,22.2612,9.1829,54.4343,2,69.2732
1005,36.7,73,18.5122,24.8602,68.0777,1,252.6376
1006,90.4,34,75.893,45.8972,8.0706,3,60.8642
1007,74.8,35,61.3775,31.3598,14.4563,3,68.9131
1008,42.3,43,30.0698,9.3505,47.2739,2,66.8642
1009,48.6,61,28.1264,10.3685,51.1995,2,119.7594
1010,21.2,52,11.8477,26.4726,70.1909,1,143.8668
1011,47.2,67,26.7713,16.3299,56.3584,2,275.8346
1012,45.4,48,29.4093,3.4895,46.4313,2,6.1346
1013,15,78,15.2395,42.5668,88.1083,1,281.7651
1014,25.9,65,5.4106,26.0342,71.8102,1,6.0609
1015,35.3,54,17.6719,12.7793,58.1608,2,119.3297
1016,39.7,49,24.1703,8.1144,51.9879,2,37.3863
1017,55.9,43,40.9749,11.2765,34.8082,2,161.0794
1018,38.5,59,18.525,12.3619,57.9712,2,123.7628
1019,15,64,5.6191,35.2542,80.7836,1,77.5984
1020,89,23,79.647,49.7661,4.4481,3,130.5798
1021,44.1,51,26.7612,3.5542,49.0007,2,2.6456
1022,44.4,52,26.5645,3.4995,49.2438,2,3.8828
1023,26.9,37,27.5592,24.8427,60.6785,2,532.3656
1024,24.2,65,3.7685,27.4697,73.2555,1,1.8251
1025,50.7,39,39.009,12.0705,38.0224,2,157.1001
1026,21.2,50,13.8456,26.4481,69.4984,1,194.7001
1027,40.2,36,34.0324,16.4539,47.4157,2,238.8035
1028,24.4,42,22.1587,24.8062,64.1408,1,471.6068
1029,50.9,36,41.1312,15.0339,36.9763,2,236.9587
1030,31.6,50,17.6634,16.0537,59.7947,2,197.2318
1031,99.1,42,81.4637,52.1868,19.5907,3,357.0653
1032,41.3,48,26.0479,6.8811,50.1147,2,24.8815
1033,17.5,65,3.3279,33.3701,79.0507,1,41.4109
1034,62.1,46,45.1541,15.1978,31.2089,2,290.9973
1035,37.5,56,18.612,11.4522,57.2189,2,96.8284
1036,48,49,31.1428,1.7144,44.6221,2,7.7353
1037,15,50,14.9301,32.6464,75.3717,1,265.4318
1038,27.1,73,11.2277,30.3352,75.4128,1,97.1976
1039,53.2,66,32.6553,16.3016,51.5624,2,298.5311
1040,87.7,16,82.3905,52.9837,10.8626,3,298.7542
1041,59,35,48.0067,19.3598,28.9005,2,417.7732
1042,40.9,51,24.0023,6.7472,51.808,2,22.7173
1043,31.4,48,19.1566,16.4585,59.2349,2,208.7484
1044,20.7,66,2.1683,30.9928,76.7699,1,14.8876
1045,36.9,48,22.7121,11.0678,54.1343,2,82.4001
1046,30.7,79,18.2127,33.0029,76.557,1,281.3876
1047,64.9,53,45.5892,17.4163,34.0811,2,377.5173
1048,53.8,49,36.3478,6.3845,39.6943,2,68.7953
1049,20,71,7.1931,34.3075,80.0209,1,67.6401
1050,51.3,59,31.0617,9.0933,47.8552,2,104.9159
1051,34.1,51,18.6144,13.5433,57.9088,2,133.3697
1052,34.8,48,21.257,13.1154,56.0729,2,123.5022
1053,70,41,54.4066,24.3643,21.9231,3,233.4464
1054,82.3,42,65.4334,35.7299,15.8116,3,89.3853
1055,77.7,37,63.0756,33.0253,13.6014,3,45.0875
1056,18.2,47,17.0059,29.6681,71.4286,1,310.5751
1057,34.6,48,21.1241,13.3112,56.2581,2,127.8766
