CustomerID,Annual_Income,Spending_Score,Distance_C1,Distance_C2,Distance_C3,Assigned_Cluster,Squared_Distance_to_New_Centroid
1000,59.9,58,36.5444,16.1315,34.1874,2,274.0412
1001,48.4,37,36.3083,13.7462,34.6198,2,182.693
1002,70.5,26,60.0202,34.8822,13.8791,3,188.7119
1003,81.1,30,66.476,40.9453,3.0329,3,12.9245
1004,42.1,58,19.1657,8.3231,47.9425,2,71.8205
1005,36.7,73,15.8946,24.2417,61.2766,1,233.482
1006,90.4,34,72.9218,47.696,7.8016,3,70.3956
1007,74.8,35,58.5213,33.0107,8.3014,3,54.5493
1008,42.3,43,27.7656,8.1771,41.7605,2,60.3941
1009,48.6,61,24.9433,10.9435,44.4316,2,128.2509
1010,21.2,52,11.9944,24.4843,64.5325,1,151.632
1011,47.2,67,23.6263,16.6083,49.4878,2,287.0973
1012,45.4,48,26.7045,2.4768,40.4018,2,4.6751
1013,15,78,16.7859,41.1913,81.5659,1,288.488
1014,25.9,65,2.4619,24.5106,65.4421,1,3.386
1015,35.3,54,15.0468,10.9238,52.0556,2,115.1334
1016,39.7,49,21.6567,6.1144,46.0683,2,32.9276
1017,55.9,43,38.1966,12.6917,28.7943,2,163.2198
1018,38.5,59,15.4317,11.1249,51.5354,2,124.6405
1019,15,64,8.809,33.4927,74.6764,1,89.128
1020,89,23,76.8613,51.33,11.4271,3,158.3303
1021,44.1,51,23.9462,1.6265,42.8104,2,2.1919
1022,44.4,52,23.6912,1.9705,42.9829,2,4.2287
1023,26.9,37,26.8872,23.073,56.0099,2,512.4876
1024,24.2,65,1.351,25.8991,66.9238,1,1.312
1025,50.7,39,36.5224,12.534,32.6751,2,153.5098
1026,21.2,50,13.9535,24.4406,63.9583,1,203.152
1027,40.2,36,32.1959,15.4533,42.6726,2,226.7366
1028,24.4,42,21.7165,22.8614,59.0929,1,478.736
1029,50.9,36,38.7548,15.3935,32.0191,2,231.6662
1030,31.6,50,15.77,14.0439,54.0271,2,188.2544
1031,99.1,42,78.3627,54.1299,18.8962,3,364.2088
1032,41.3,48,23.5129,4.9881,44.2182,2,20.8262
1033,17.5,65,6.4351,31.6686,72.8562,1,49.418
1034,62.1,46,42.1919,17.0586,24.627,2,298.8919
1035,37.5,56,15.7161,9.8401,50.948,2,95.2441
1036,48,49,28.3156,2.7812,38.4295,2,8.5316
1037,15,50,16.2921,30.6397,69.9436,1,281.768
1038,27.1,73,9.8589,29.1787,68.781,1,90.25
1039,53.2,66,29.485,17.2781,44.6178,2,312.983
1040,87.7,16,79.7418,54.3805,17.2845,3,337.5203
1041,59,35,45.4193,20.4395,23.8589,2,416.9994
1042,40.9,51,21.3019,4.7663,45.719,2,20.2376
1043,31.4,48,17.4485,14.4481,53.6064,2,198.4251
1044,20.7,66,3.8584,29.3792,70.4746,1,18.482
1045,36.9,48,20.4512,9.0774,48.3655,2,75.5591
1046,30.7,79,16.7746,32.2073,69.7464,1,267.802
1047,64.9,53,42.4681,19.4298,27.1294,2,391.4519
1048,53.8,49,33.4079,8.2943,33.28,2,73.2637
1049,20,71,8.2244,32.8463,73.5761,1,70.408
1050,51.3,59,27.896,10.2428,41.0775,2,113.8976
1051,34.1,51,16.3556,11.5486,52.0134,2,126.5848
1052,34.8,48,19.1745,11.1132,50.3601,2,115.3316
1053,70,41,51.4755,26.1379,15.279,3,201.2777
1054,82.3,42,62.394,37.6284,9.4544,3,72.773
1055,77.7,37,60.1506,34.7765,6.7147,3,31.1519
1056,18.2,47,17.6231,27.6542,66.1301,1,323.872
1057,34.6,48,19.0605,11.3083,50.5505,2,119.5794
1058,39,52,19.1833,6.8113,47.8612,2,43.3209
1059,70.5,38,53.305,27.8136,13.3902,3,153.3435
1060,37.7,75,17.9052,25.7861,61.8832,1,299.482
1061,32.2,43,22.3456,15.3709,51.6014,2,223.4009
1062,22,66,2.9166,28.2841,69.333,1,10.448
1063,19.6,77,13.9407,37.1748,77.2083,1,195.56
1064,80.9,57,57.4886,35.8641,24.5131,3,554.7561
1065,77.7,30,63.569,38.0385,5.6449,3,30.7835
1066,38,59,14.9563,11.452,51.9652,2,131.7101
1067,79.1,41,59.7771,34.7767,9.1929,3,65.2088
1068,46.6,52,25.6268,1.8121,41.033,2,5.0223
1069,34.4,55,13.7152,12.1167,53.2904,2,142.6573
1070,64.4,47,43.8998,19.0811,23.3399,2,374.0501
1071,89.1,3,89.1574,64.359,30.2335,3,978.6824
1072,35.2,62,11.5232,15.555,55.9142,1,119.312
1073,98.1,26,83.3174,57.8879,16.7066,3,314.2193
1074,21.5,56,8.0453,24.7626,65.568,1,70.738
1075,62.8,62,39.0332,20.6795,35.5572,2,445.7316
1076,54,41,37.7817,12.6313,29.9485,2,159.2673
1077,54.3,44,36.31,10.8104,30.6501,2,118.6012
1078,38.4,74,17.8594,24.6218,60.6884,1,297.296
1079,15,53,13.863,30.7409,70.7515,1,207.488
1080,50.1,44,32.8617,7.8567,34.5819,2,60.8062
1081,53.2,46,34.3176,8.7836,32.4495,2,79.4116
